"featureFlag","ref","type","baseWeapon","baseMods","supportedAttachments","lootTags","tier","pingCommsAction","fakeAmmoIcon","icon","pickupModel","skinOverride","attachSound","pickupSound_1p","pickupSound_3p","carrySound","pickupString","desc","countPerDrop","inventorySlotCount","netInt","passive","minPVPCurrency","maxPVPCurrency","scrapValue","droppodRotate","conditional","isDynamic","pretendsToBeBlank"
"","mp_weapon_car_r2","main_weapon","","crate","","smg","5","PING_WEAPON_CAR","rui/hud/gametype_icons/survival/sur_ammo_crate_boomjuice","","","0","","survival_loot_pickup_weapon_car","survival_loot_pickup_3p_weapon_car","","","","1","1","","","0","0","20","0","0","0","0"
"","mp_weapon_wingman_n","main_weapon","","crate","","smg","5","PING_WEAPON_WINGMAN_N","rui/hud/gametype_icons/survival/sur_ammo_crate_boomjuice","","","0","","survival_loot_pickup_weapon_wingman_n","survival_loot_pickup_3p_weapon_wingman_n","","","","1","1","","","0","0","20","0","0","0","0"
"","mp_weapon_rspn101_og","main_weapon","","crate","","smg","5","PING_WEAPON_R201","rui/hud/gametype_icons/survival/sur_ammo_crate_boomjuice","","","0","","survival_loot_pickup_weapon_rspn101","survival_loot_pickup_3p_weapon_rspn101","","","","1","1","","","0","0","20","0","0","0","0"
"","mp_weapon_smart_pistol","main_weapon","","crate","","pistol","5","PING_WEAPON_SMARTPISTOL","rui/hud/gametype_icons/survival/sur_ammo_crate_boomjuice","","","0","","weapon_smartpistol_equip","weapon_smartpistol_equip","","","","1","1","","","0","0","20","0","0","0","0"
"","mp_titanweapon_predator_cannon","main_weapon","","crate","","launcher","5","PING_WEAPON_PREDATOR","rui/hud/gametype_icons/survival/sur_ammo_crate_boomjuice","","","0","","weapon_smartpistol_equip","weapon_smartpistol_equip","","","","1","1","","","0","0","20","0","0","0","0"
"","mp_titanweapon_particle_accelerator","main_weapon","","crate","","launcher","5","PING_WEAPON_PREDATOR","rui/hud/gametype_icons/survival/sur_ammo_crate_boomjuice","","","0","","weapon_smartpistol_equip","weapon_smartpistol_equip","","","","1","1","","","0","0","20","0","0","0","0"
"","mp_titanweapon_rocketeer_rocketstream","main_weapon","","crate","","launcher","5","PING_WEAPON_PREDATOR","rui/hud/gametype_icons/survival/sur_ammo_crate_boomjuice","","","0","","weapon_smartpistol_equip","weapon_smartpistol_equip","","","","1","1","","","0","0","20","0","0","0","0"
"","mp_titanweapon_leadwall","main_weapon","","crate","","launcher","5","PING_WEAPON_PREDATOR","rui/hud/gametype_icons/survival/sur_ammo_crate_boomjuice","","","0","","weapon_smartpistol_equip","weapon_smartpistol_equip","","","","1","1","","","0","0","20","0","0","0","0"
"","mp_titanweapon_meteor","main_weapon","","crate","","launcher","5","PING_WEAPON_PREDATOR","rui/hud/gametype_icons/survival/sur_ammo_crate_boomjuice","","","0","","weapon_smartpistol_equip","weapon_smartpistol_equip","","","","1","1","","","0","0","20","0","0","0","0"
"","mp_titanweapon_sniper","main_weapon","","crate","","launcher","5","PING_WEAPON_PREDATOR","rui/hud/gametype_icons/survival/sur_ammo_crate_boomjuice","","","0","","weapon_smartpistol_equip","weapon_smartpistol_equip","","","","1","1","","","0","0","20","0","0","0","0"
"","mp_titanweapon_xo16","main_weapon","","crate","","launcher","5","PING_WEAPON_PREDATOR","rui/hud/gametype_icons/survival/sur_ammo_crate_boomjuice","","","0","","weapon_smartpistol_equip","weapon_smartpistol_equip","","","","1","1","","","0","0","20","0","0","0","0"
"","mp_titanweapon_xo16_vanguard","main_weapon","","crate","","launcher","5","PING_WEAPON_PREDATOR","rui/hud/gametype_icons/survival/sur_ammo_crate_boomjuice","","","0","","weapon_smartpistol_equip","weapon_smartpistol_equip","","","","1","1","","","0","0","20","0","0","0","0"
"","mp_titanweapon_xo16_shorty","main_weapon","","crate","","launcher","5","PING_WEAPON_PREDATOR","rui/hud/gametype_icons/survival/sur_ammo_crate_boomjuice","","","0","","weapon_smartpistol_equip","weapon_smartpistol_equip","","","","1","1","","","0","0","20","0","0","0","0"
"string","string","string","string","string","string","string","int","string","asset_noprecache","asset_noprecache","asset","int","string","string","string","string","string","string","int","int","string","string","int","int","int","bool","bool","bool","bool"
