"name","characterRef","skinRef","frameRef","stanceRef","firstBadgeRef","firstBadgeDataInteger","secondBadgeRef","secondBadgeDataInteger","thirdBadgeRef","thirdBadgeDataInteger"
"Shishka","character_wraith","character_skin_wraith_legendary_shop_01","gcard_frame_wraith_legendary_04","gcard_stance_wraith_heirloom_01","gcard_badge_account_dev_badge",-1,"gcard_badge_wraith_flawless_victory_1",-1,"gcard_badge_wraith_no_one_left_behind",-1
"CrazyRatLady","character_bloodhound","character_skin_bloodhound_epic_01","gcard_frame_bloodhound_legendary_05","gcard_stance_bloodhound_epic_04","gcard_badge_bloodhound_flawless_victory_2",-1,"gcard_badge_bloodhound_rapid_elimination",-1,"gcard_badge_account_dev_badge",-1
"Warhawk","character_caustic","character_skin_caustic_legendary_04","gcard_frame_caustic_rare_02","gcard_stance_caustic_common_01","gcard_badge_account_dev_badge",-1,"gcard_badge_caustic_elite_character",-1,"gcard_badge_caustic_flawless_victory_1",-1
"Mitsu","character_mirage","character_skin_mirage_legendary_03","gcard_frame_mirage_legendary_04","gcard_stance_mirage_epic_02","gcard_badge_account_dev_badge",-1,"gcard_badge_mirage_reinforcement_recall",-1,"gcard_badge_account_fashionista",-1
"Syxz_Dev","character_octane","character_skin_octane_epic_03","gcard_frame_octane_legendary_03","gcard_stance_octane_epic_02","gcard_badge_account_dev_badge",-1,"gcard_badge_octane_character_wrath",-1,"gcard_badge_account_warlord",0
"RoBoTg","character_caustic","character_skin_caustic_legendary_shop_01","gcard_frame_caustic_rare_02","gcard_stance_caustic_rare_08","gcard_badge_caustic_triple_triple",-1,"gcard_badge_account_dev_badge",-1,"gcard_badge_caustic_squad_wipe",-1
"TomBombadillo","character_pathfinder","character_skin_pathfinder_rare_09","gcard_frame_pathfinder_season01_rare_01","gcard_stance_pathfinder_epic_01","gcard_badge_account_dev_badge",-1,"gcard_badge_pathfinder_squad_wipe",-1,"gcard_badge_pathfinder_rapid_elimination",-1
"Trev_Dev","character_lifeline","character_skin_lifeline_legendary_02","gcard_frame_lifeline_legendary_04","gcard_stance_lifeline_common_01","gcard_badge_account_dev_badge",-1,"gcard_badge_account_valentine_base",-1,"gcard_badge_lifeline_apex_predator",-1
"Warlord","character_wraith","character_skin_wraith_epic_02","gcard_frame_wraith_legendary_02","gcard_stance_wraith_rare_08","gcard_badge_account_dev_badge",-1,"gcard_badge_wraith_hot_streak",-1,"gcard_badge_wraith_character_wake",-1
"x969xtreme","character_pathfinder","character_skin_pathfinder_legendary_omega","gcard_frame_pathfinder_common_01","gcard_stance_pathfinder_common_01","gcard_badge_account_account_level",3,"gcard_badge__empty",0,"gcard_badge__empty",0
"Emmerlynn","character_lifeline","character_skin_lifeline_beasthunter_epic_01","gcard_frame_lifeline_common_04","gcard_stance_lifeline_rare_07","gcard_badge_account_group_theatrics",-1,"gcard_badge_account_pack_victory",-1,"gcard_badge_account_valentine_base",-1
"swakdaddy","character_pathfinder","character_skin_pathfinder_epic_02","gcard_frame_pathfinder_common_02","gcard_stance_pathfinder_rare_07","gcard_badge_pathfinder_flawless_victory_1",-1,"gcard_badge_pathfinder_apex_character",-1,"gcard_badge_pathfinder_the_legacy_continues",-1
"dhdhdh","character_pathfinder","character_skin_pathfinder_legendary_03","gcard_frame_pathfinder_legendary_01","gcard_stance_pathfinder_epic_01","gcard_badge_account_dev_badge",-1,"gcard_badge_account_fashionista",0,"gcard_badge_pathfinder_flawless_victory_1",-1
"Perera","character_pathfinder","character_skin_pathfinder_classic","gcard_frame_pathfinder_season01_rare_01","gcard_stance_pathfinder_epic_05","gcard_badge_account_dev_badge",-1,"gcard_badge_pathfinder_apex_predator",-1,"gcard_badge_pathfinder_the_legacy_continues",-1
"dbocek","character_bangalore","character_skin_bangalore_classic","gcard_frame_bangalore_legendary_01","gcard_stance_bangalore_rare_01","gcard_badge_account_dev_badge",-1,"gcard_badge_bangalore_no_one_left_behind",-1,"gcard_badge_account_valentine_base",-1
"Particleman","character_pathfinder","character_skin_pathfinder_legendary_01","gcard_frame_pathfinder_legendary_03","gcard_stance_pathfinder_epic_05","gcard_badge_account_dev_badge",-1,"gcard_badge_account_fashionista",0,"gcard_badge_pathfinder_elite_character",-1
"Ravi-RSPN","character_octane","character_skin_octane_legendary_04","gcard_frame_octane_legendary_04","gcard_stance_octane_epic_01","gcard_badge_account_dev_badge",-1,"gcard_badge_octane_apex_character",-1,"gcard_badge_octane_character_wake",-1
"TaYaPi","character_mirage","character_skin_mirage_legendary_02","gcard_frame_mirage_legendary_04","gcard_stance_mirage_epic_03","gcard_badge_account_dev_badge",-1,"gcard_badge_mirage_character_wake",-1,"gcard_badge_mirage_triple_triple",-1
"MOOSTACHE","character_octane","character_skin_octane_legendary_02","gcard_frame_octane_legendary_01","gcard_stance_octane_epic_01","gcard_badge_account_dev_badge",-1,"gcard_badge_octane_character_wake",-1,"gcard_badge_account_season01_bplevel",110
"DarKris3DEV","character_lifeline","character_skin_lifeline_legendary_01","gcard_frame_lifeline_common_01","gcard_stance_lifeline_rare_06","gcard_badge_account_dev_badge",-1,"gcard_badge_lifeline_the_legacy_continues",-1,"gcard_badge_account_valentine_base",-1
"MAltamirano_DEV","character_pathfinder","character_skin_pathfinder_rare_02","gcard_frame_pathfinder_legendary_04","gcard_stance_pathfinder_epic_03","gcard_badge_account_dev_badge",-1,"gcard_badge_pathfinder_apex_predator",-1,"gcard_badge_account_team_work",-1
"Tweeee","character_octane","character_skin_octane_classic","gcard_frame_octane_common_01","gcard_stance_octane_epic_03","gcard_badge_account_dev_badge",-1,"gcard_badge_octane_flawless_victory_2",-1,"gcard_badge_octane_triple_triple",-1
"jelrick","character_mirage","character_skin_mirage_epic_01","gcard_frame_mirage_legendary_05","gcard_stance_mirage_epic_02","gcard_badge_account_dev_badge",-1,"gcard_badge_account_valentine_base",-1,"gcard_badge_mirage_apex_predator",-1
"Deco","character_bangalore","character_skin_bangalore_legendary_02","gcard_frame_bangalore_season01_rare_01","gcard_stance_bangalore_rare_05","gcard_badge_account_dev_badge",-1,"gcard_badge_account_season01_bplevel",110,"gcard_badge_account_valentine_base",-1
"thezilch","character_octane","character_skin_octane_legendary_02","gcard_frame_octane_legendary_04","gcard_stance_octane_rare_04","gcard_badge_account_dev_badge",-1,"gcard_badge_octane_character_wake",-1,"gcard_badge_account_season01_bplevel",110
"lowkeydbjosh","character_mirage","character_skin_mirage_legendary_01","gcard_frame_mirage_legendary_05","gcard_stance_mirage_rare_08","gcard_badge_account_dev_badge",-1,"gcard_badge_account_season01_kills_with_7_chars",4,"gcard_badge_account_account_level",100
"dustman","character_gibraltar","character_skin_gibraltar_legendary_04","gcard_frame_gibraltar_legendary_01","gcard_stance_gibraltar_rare_09","gcard_badge_account_dev_badge",-1,"gcard_badge_account_season01_wins_with_7_chars",4,"gcard_badge_gibraltar_apex_predator",-1
"AndiTheBaker","character_caustic","character_skin_caustic_legendary_03","gcard_frame_caustic_legendary_01","gcard_stance_caustic_epic_03","gcard_badge_account_dev_badge",-1,"gcard_badge_account_baller",-1,"gcard_badge_caustic_shot_caller",-1
"BooFrisco","character_mirage","character_skin_mirage_legendary_01","gcard_frame_mirage_legendary_05","gcard_stance_mirage_epic_03","gcard_badge_account_dev_badge",-1,"gcard_badge_mirage_headshot_hotshot",-1,"gcard_badge_mirage_rapid_elimination",-1
"Soupy","character_pathfinder","character_skin_pathfinder_common_13","gcard_frame_pathfinder_legendary_2019valentines","gcard_stance_pathfinder_epic_02","gcard_badge_account_dev_badge",-1,"gcard_badge_account_valentine_base",-1,"gcard_badge_pathfinder_character_wake",-1
"alex_frostwolf","character_lifeline","character_skin_lifeline_legendary_03","gcard_frame_lifeline_legendary_01","gcard_stance_lifeline_rare_07","gcard_badge_account_pack_victory",-1,"gcard_badge_account_dev_badge",-1,"gcard_badge_account_valentine_base",-1
"X350","character_octane","character_skin_octane_epic_02","gcard_frame_octane_rare_04","gcard_stance_octane_rare_02","gcard_badge_account_dev_badge",-1,"gcard_badge_octane_character_wake",-1,"gcard_badge_account_season01_kills_with_7_chars",4
"R3C0N54_GARZA","character_mirage","character_skin_mirage_legendary_shop_01","gcard_frame_mirage_legendary_04","gcard_stance_mirage_epic_01","gcard_badge_account_dev_badge",-1,"gcard_badge_account_season01_bonus_xp_with_7_chars",1,"gcard_badge_mirage_headshot_hotshot",-1
"Brian_Burrell_DEV","character_bangalore","character_skin_bangalore_classic","gcard_frame_bangalore_legendary_04","gcard_stance_bangalore_epic_02","gcard_badge_bangalore_apex_predator",-1,"gcard_badge_account_dev_badge",-1,"gcard_badge_bangalore_assassin",-1
"Papa_Austin_Dev","character_pathfinder","character_skin_pathfinder_epic_02","gcard_frame_pathfinder_common_05","gcard_stance_pathfinder_epic_01","gcard_badge_account_account_level",100,"gcard_badge_account_dev_badge",-1,"gcard_badge_account_baller",0
"Sir DiesALot","character_wraith","character_skin_wraith_legendary_shop_01","gcard_frame_wraith_legendary_02","gcard_stance_wraith_rare_07","gcard_badge_account_dev_badge",-1,"gcard_badge_wraith_character_wrath",3,"gcard_badge_wraith_character_wake",-1
"Hooch","character_pathfinder","character_skin_pathfinder_legendary_02","gcard_frame_pathfinder_legendary_03","gcard_stance_pathfinder_epic_02","gcard_badge_account_dev_badge",-1,"gcard_badge_pathfinder_character_wake",-1,"gcard_badge_account_valentine_base",-1
"JZartist","character_bangalore","character_skin_bangalore_legendary_04","gcard_frame_bangalore_legendary_04","gcard_stance_bangalore_epic_02","gcard_badge_account_dev_badge",-1,"gcard_badge_bangalore_character_wake",-1,"gcard_badge_bangalore_triple_triple",-1
"ARARARAGI","character_pathfinder","character_skin_pathfinder_legendary_02","gcard_frame_pathfinder_legendary_04","gcard_stance_pathfinder_epic_04","gcard_badge_account_dev_badge",-1,"gcard_badge_account_account_level",100,"gcard_badge_pathfinder_character_wake",-1
"PENTA_WACKO","character_wraith","character_skin_wraith_legendary_03","gcard_frame_wraith_legendary_04","gcard_stance_wraith_rare_06","gcard_badge_wraith_character_wrath",3,"gcard_badge_wraith_character_wake",-1,"gcard_badge_account_elite_max_streak",100
"PK_hodsic","character_wattson","character_skin_wattson_legendary_03","gcard_frame_wattson_legendary_04","gcard_stance_wattson_rare_01","gcard_badge_account_account_level",100,"gcard_badge_wattson_character_wrath",3,"gcard_badge_wattson_character_wake",-1
"CLQ_Paradox_MSI","character_pathfinder","character_skin_pathfinder_legendary_04","gcard_frame_pathfinder_legendary_04","gcard_stance_pathfinder_epic_01","gcard_badge_account_account_level",99,"gcard_badge_pathfinder_elite_character",4,"gcard_badge_account_season01_bplevel",110
"whub","character_pathfinder","character_skin_pathfinder_legendary_shop_01","gcard_frame_pathfinder_legendary_2019valentines","gcard_stance_pathfinder_epic_01","gcard_badge_account_dev_badge",-1,"gcard_badge_pathfinder_character_wake",-1,"gcard_badge_pathfinder_character_wrath",3
"Xenogearcap","character_caustic","character_skin_caustic_legendary_shop_01","gcard_frame_caustic_legendary_01","gcard_stance_caustic_common_01","gcard_badge_account_dev_badge",-1,"gcard_badge_caustic_apex_predator",-1,"gcard_badge_account_season01_bplevel",110
"string","string","string","string","string","string","int","string","int","string","int"
