"featureFlag","event","notes","menuText","shortText","chatText","aliasSubname","hasCalm","hasCalmFar","hasUrgent","hasUrgentFar","subEvent","flavorEvent","defaultIcon","pingAsset"
"","PING_EQUIPMENT_INCAPSHIELD_1","","","","#PING_TIERED_LOOT","ping_foundShieldKO",true,false,true,false,"SUB_TYPE_LEVEL1","FLAVOR_EQUIPMENT_INCAPSHIELD_1","",""
"","PING_EQUIPMENT_INCAPSHIELD_2","","","","#PING_TIERED_LOOT","ping_foundShieldKO",true,false,true,false,"SUB_TYPE_LEVEL2","FLAVOR_EQUIPMENT_INCAPSHIELD_2","",""
"","PING_EQUIPMENT_INCAPSHIELD_3","","","","#PING_TIERED_LOOT","ping_foundShieldKO",true,false,true,false,"SUB_TYPE_LEVEL3","FLAVOR_EQUIPMENT_INCAPSHIELD_3","",""
"","PING_EQUIPMENT_INCAPSHIELD_4","","","","#PING_TIERED_LOOT","ping_foundShieldKO",true,false,true,false,"SUB_TYPE_LEVEL4","FLAVOR_EQUIPMENT_INCAPSHIELD_4","",""
"","PING_ATTACHMENT_OPTIC_CQ_HCOG_1","","","","#PING_LOOT","ping_foundOptic",true,false,true,false,"SUB_TYPE_RANGECLOSE","FLAVOR_ATTACHMENT_OPTIC_CQ_HCOG_1","",""
"","PING_ATTACHMENT_OPTIC_CQ_HCOG_2","","","","#PING_LOOT","ping_foundOptic",true,false,true,false,"SUB_TYPE_RANGECLOSE","FLAVOR_ATTACHMENT_OPTIC_CQ_HCOG_2","",""
"","PING_ATTACHMENT_OPTIC_CQ_HOLOSIGHT_1","","","","#PING_LOOT","ping_foundOptic",true,false,true,false,"SUB_TYPE_RANGECLOSE","FLAVOR_ATTACHMENT_OPTIC_CQ_HOLOSIGHT_1","",""
"","PING_ATTACHMENT_OPTIC_CQ_HOLOSIGHT_2","","","","#PING_LOOT","ping_foundOptic",true,false,true,false,"SUB_TYPE_RANGECLOSE","FLAVOR_ATTACHMENT_OPTIC_CQ_HOLOSIGHT_2","",""
"","PING_ATTACHMENT_OPTIC_CQ_THREAT","","","","#PING_LOOT","ping_foundOptic",true,false,true,false,"SUB_TYPE_RANGECLOSE","FLAVOR_ATTACHMENT_OPTIC_CQ_THREAT","",""
"","PING_ATTACHMENT_OPTIC_RANGED_HCOG","","","","#PING_LOOT","ping_foundOptic",true,false,true,false,"SUB_TYPE_RANGEMID","FLAVOR_ATTACHMENT_OPTIC_RANGED_HCOG","",""
"","PING_ATTACHMENT_OPTIC_RANGED_AOG","","","","#PING_LOOT","ping_foundOptic",true,false,true,false,"SUB_TYPE_RANGEMID","FLAVOR_ATTACHMENT_OPTIC_RANGED_AOG","",""
"","PING_ATTACHMENT_OPTIC_SNIPER","","","","#PING_LOOT","ping_foundOptic",true,false,true,false,"SUB_TYPE_RANGESNIPER","FLAVOR_ATTACHMENT_OPTIC_SNIPER","",""
"","PING_ATTACHMENT_OPTIC_SNIPER_VARIABLE","","","","#PING_LOOT","ping_foundOptic",true,false,true,false,"SUB_TYPE_RANGESNIPER","FLAVOR_ATTACHMENT_OPTIC_SNIPER_VARIABLE","",""
"","PING_ATTACHMENT_OPTIC_SNIPER_THREAT","","","","#PING_LOOT","ping_foundOptic",true,false,true,false,"SUB_TYPE_RANGESNIPER","FLAVOR_ATTACHMENT_OPTIC_SNIPER_THREAT","",""
"","PING_ATTACHMENT_MAG_BULLET_1","","","","#PING_TIERED_LOOT","ping_foundAmmoMagLight",true,false,true,false,"SUB_TYPE_LEVEL1","FLAVOR_ATTACHMENT_MAG_BULLET_1","",""
"","PING_ATTACHMENT_MAG_BULLET_2","","","","#PING_TIERED_LOOT","ping_foundAmmoMagLight",true,false,true,false,"SUB_TYPE_LEVEL2","FLAVOR_ATTACHMENT_MAG_BULLET_2","",""
"","PING_ATTACHMENT_MAG_BULLET_3","","","","#PING_TIERED_LOOT","ping_foundAmmoMagLight",true,false,true,false,"SUB_TYPE_LEVEL3","FLAVOR_ATTACHMENT_MAG_BULLET_3","",""
"","PING_ATTACHMENT_MAG_HIGHCAL_1","","","","#PING_TIERED_LOOT","ping_foundAmmoMagHeavy",true,false,true,false,"SUB_TYPE_LEVEL1","FLAVOR_ATTACHMENT_MAG_HIGHCAL_1","",""
"","PING_ATTACHMENT_MAG_HIGHCAL_2","","","","#PING_TIERED_LOOT","ping_foundAmmoMagHeavy",true,false,true,false,"SUB_TYPE_LEVEL2","FLAVOR_ATTACHMENT_MAG_HIGHCAL_2","",""
"","PING_ATTACHMENT_MAG_HIGHCAL_3","","","","#PING_TIERED_LOOT","ping_foundAmmoMagHeavy",true,false,true,false,"SUB_TYPE_LEVEL3","FLAVOR_ATTACHMENT_MAG_HIGHCAL_3","",""
"HAS_ENERGY_MAGS","PING_ATTACHMENT_MAG_ENERGY_1","","","","#PING_TIERED_LOOT","ping_foundAmmoMagEnergy",true,false,true,false,"SUB_TYPE_LEVEL1","","",""
"HAS_ENERGY_MAGS","PING_ATTACHMENT_MAG_ENERGY_2","","","","#PING_TIERED_LOOT","ping_foundAmmoMagEnergy",true,false,true,false,"SUB_TYPE_LEVEL2","","",""
"HAS_ENERGY_MAGS","PING_ATTACHMENT_MAG_ENERGY_3","","","","#PING_TIERED_LOOT","ping_foundAmmoMagEnergy",true,false,true,false,"SUB_TYPE_LEVEL3","","",""
"","PING_ATTACHMENT_SHOTGUN_BOLT_1","","","","#PING_TIERED_LOOT","ping_foundShotgunBolt",true,false,true,false,"SUB_TYPE_LEVEL1","FLAVOR_ATTACHMENT_SHOTGUN_BOLT_1","",""
"","PING_ATTACHMENT_SHOTGUN_BOLT_2","","","","#PING_TIERED_LOOT","ping_foundShotgunBolt",true,false,true,false,"SUB_TYPE_LEVEL2","FLAVOR_ATTACHMENT_SHOTGUN_BOLT_2","",""
"","PING_ATTACHMENT_SHOTGUN_BOLT_3","","","","#PING_TIERED_LOOT","ping_foundShotgunBolt",true,false,true,false,"SUB_TYPE_LEVEL3","FLAVOR_ATTACHMENT_SHOTGUN_BOLT_3","",""
"","PING_ATTACHMENT_STOCK_STANDARD_1","","","","#PING_TIERED_LOOT","ping_foundStockTactical",true,false,true,false,"SUB_TYPE_LEVEL1","FLAVOR_ATTACHMENT_STOCK_STANDARD_1","",""
"","PING_ATTACHMENT_STOCK_STANDARD_2","","","","#PING_TIERED_LOOT","ping_foundStockTactical",true,false,true,false,"SUB_TYPE_LEVEL2","FLAVOR_ATTACHMENT_STOCK_STANDARD_2","",""
"","PING_ATTACHMENT_STOCK_STANDARD_3","","","","#PING_TIERED_LOOT","ping_foundStockTactical",true,false,true,false,"SUB_TYPE_LEVEL3","FLAVOR_ATTACHMENT_STOCK_STANDARD_3","",""
"","PING_ATTACHMENT_STOCK_SNIPER_1","","","","#PING_TIERED_LOOT","ping_foundStockSniper",true,false,true,false,"SUB_TYPE_LEVEL1","FLAVOR_ATTACHMENT_STOCK_SNIPER_1","",""
"","PING_ATTACHMENT_STOCK_SNIPER_2","","","","#PING_TIERED_LOOT","ping_foundStockSniper",true,false,true,false,"SUB_TYPE_LEVEL2","FLAVOR_ATTACHMENT_STOCK_SNIPER_2","",""
"","PING_ATTACHMENT_STOCK_SNIPER_3","","","","#PING_TIERED_LOOT","ping_foundStockSniper",true,false,true,false,"SUB_TYPE_LEVEL3","FLAVOR_ATTACHMENT_STOCK_SNIPER_3","",""
"","PING_ATTACHMENT_BARREL_STABILIZER_1","","","","#PING_TIERED_LOOT","ping_foundBarrelStabilizer",true,false,true,false,"SUB_TYPE_LEVEL1","FLAVOR_ATTACHMENT_BARREL_STABILIZER_1","",""
"","PING_ATTACHMENT_BARREL_STABILIZER_2","","","","#PING_TIERED_LOOT","ping_foundBarrelStabilizer",true,false,true,false,"SUB_TYPE_LEVEL2","FLAVOR_ATTACHMENT_BARREL_STABILIZER_2","",""
"","PING_ATTACHMENT_BARREL_STABILIZER_3","","","","#PING_TIERED_LOOT","ping_foundBarrelStabilizer",true,false,true,false,"SUB_TYPE_LEVEL3","FLAVOR_ATTACHMENT_BARREL_STABILIZER_3","",""
"","PING_ATTACHMENT_BARREL_STABILIZER_4_FLASH_HIDER","! [jnel] updated for Flash Hider vo event","","","#PING_TIERED_LOOT","ping_foundBarrelStabilizer",true,false,true,false,"SUB_TYPE_LEVEL4","FLAVOR_ATTACHMENT_BARREL_STABILIZER_4_FLASH_HIDER","",""
"","PING_ATTACHMENT_HOPUP_TURBOCHARGER","","","","#PING_LOOT","ping_foundHopUp",true,false,true,false,"SUB_TYPE_TURBOCHARGER","FLAVOR_ATTACHMENT_HOPUP_TURBOCHARGER","",""
"","PING_ATTACHMENT_HOPUP_SELECTFIRE","","","","#PING_LOOT","ping_foundHopUp",true,false,true,false,"SUB_TYPE_SELECTFIRE","FLAVOR_ATTACHMENT_HOPUP_SELECTFIRE","",""
"","PING_ATTACHMENT_HOPUP_ENERGY_CHOKE","","","","#PING_LOOT","ping_foundHopUp",true,false,true,false,"SUB_TYPE_CHOKE","FLAVOR_ATTACHMENT_HOPUP_ENERGY_CHOKE","",""
"","PING_ATTACHMENT_HOPUP_HEADSHOT_DMG","","","","#PING_LOOT","ping_foundHopUp",true,false,true,false,"SUB_TYPE_SKULLPIERCER","FLAVOR_ATTACHMENT_HOPUP_HEADSHOT_DMG","",""
"","PING_ATTACHMENT_HOPUP_SHIELD_BREAKER","","","","#PING_LOOT","ping_foundHopUp",true,false,true,false,"SUB_TYPE_DISRUPTOR","","",""
"","PING_ATTACHMENT_HOPUP_UNSHIELDED_DMG","","","","#PING_LOOT","ping_foundHopUp",true,false,true,false,"SUB_TYPE_HAMMERPOINT","","",""
"HAS_HIGHCAL_ROUNDS","PING_ATTACHMENT_HOPUP_HIGHCAL_ROUNDS","","","","#PING_LOOT","ping_foundHopUp",true,false,true,false,"","","",""
"HAS_DOUBLE_TAP","PING_ATTACHMENT_HOPUP_DOUBLE_TAP","","","","#PING_LOOT","ping_foundHopUp",true,false,true,false,"","","",""
"","PING_ITEM_COMBO_FULL","! [jnel] this is the Phoenix Kit.","","","#PING_LOOT","ping_foundPhoenixKit",true,false,true,false,"","FLAVOR_ITEM_COMBO_FULL","",""
"","PING_ITEM_SHIELD_SMALL","","","","#PING_LOOT","ping_foundShieldCell",true,false,true,false,"","","",""
"","PING_ITEM_SHIELD_LARGE","","","","#PING_LOOT","ping_foundShieldBattery",true,false,true,false,"","","",""
"","PING_ITEM_HEALTH_SMALL","","","","#PING_LOOT","ping_foundSyringe",true,false,true,false,"","FLAVOR_ITEM_HEALTH_SMALL","",""
"","PING_ITEM_HEALTH_MEDIUM","","","","#PING_LOOT","ping_foundHealthMedium",true,false,true,false,"","FLAVOR_ITEM_HEALTH_MEDIUM","",""
"","PING_ITEM_HEALTH_LARGE","! [jnel] hooked up specific medKit instead of large health. MedKit script string shares with Large Health.","","","#PING_LOOT","ping_foundMedKit",true,false,true,false,"","FLAVOR_ITEM_HEALTH_LARGE","",""
"","PING_ITEM_HEALTH_SYRINGE","","","","#PING_LOOT","ping_foundSyringe",true,false,true,false,"","FLAVOR_ITEM_HEALTH_SYRINGE","",""
"","PING_ITEM_ULTIMATE_ENERGY","","","","#PING_LOOT","ping_foundAccelerant",true,false,true,false,"","FLAVOR_ITEM_ULTIMATE_ENERGY","",""
"","PING_MAP_WAYPOINT","","Waypoint","","","",false,false,false,false,"","","rui/menu/dpad_comms/emoji/exclamation",""
"","PING_ITEM_ARMOR_SMALL","! Needs urgent/calm","","","#PING_LOOT","",false,false,false,false,"","","",""
"","PING_LOCATION","","#PROMPT_PING_LOCATION","#PROMPT_PING_LOCATION_SHORT","#PING_LOCATION","ping_spotDefault",true,true,true,true,"","","rui/hud/ping/icon_ping_go_outer","settings/itemflav/ping/ping_go.rpak"
"","PING_DROP_SUGGESTION","","#PROMPT_PING_GO","#PROMPT_PING_GO_SHORT","#PING_GOTO","ping_waypointDropship",true,false,false,false,"","","rui/hud/ping/icon_ping_go_outer","settings/itemflav/ping/ping_go.rpak"
"","PING_WE_GO","","#PROMPT_PING_GO","#PROMPT_PING_GO_SHORT","#PING_GOTO","ping_spotDefault",true,false,true,false,"","","rui/hud/ping/icon_ping_go_outer","settings/itemflav/ping/ping_go.rpak"
"","PING_I_GO","","#PROMPT_PING_I_GO","#PROMPT_PING_I_GO_SHORT","#PING_I_GO","ping_exploreGoPlayer",true,true,true,true,"","","rui/hud/ping/icon_ping_go_outer","settings/itemflav/ping/ping_i_go.rpak"
"","PING_I_WATCHING","! [jnel] hooked up specific vo events for these","#PROMPT_PING_I_WATCHING","#PROMPT_PING_I_WATCHING_SHORT","#PING_I_WATCHING","ping_watchingHere",true,true,true,true,"","","rui/hud/ping/icon_ping_watch","settings/itemflav/ping/ping_watching.rpak"
"","PING_I_LOOTING","! [jnel] hooked up specific vo events for these","#PROMPT_PING_I_LOOTING","#PROMPT_PING_I_LOOTING_SHORT","#PING_I_LOOTING","ping_lootingHere",true,true,true,true,"","","rui/hud/ping/icon_ping_loot","settings/itemflav/ping/ping_looting.rpak"
"","PING_I_DEFENDING","! [jnel] hooked up specific vo events for these","#PROMPT_PING_I_DEFENDING","#PROMPT_PING_I_DEFENDING_SHORT","#PING_I_DEFENDING","ping_defendingHere",true,true,true,true,"","","rui/hud/ping/icon_ping_defense","settings/itemflav/ping/ping_defending.rpak"
"","PING_I_ATTACKING","! [jnel] hooked up specific vo events for these","#PROMPT_PING_I_ATTACKING","#PROMPT_PING_I_ATTACKING_SHORT","#PING_I_ATTACKING","ping_attackingHere",true,true,true,true,"","","rui/hud/ping/icon_ping_attack","settings/itemflav/ping/ping_attacking.rpak"
"","PING_NEED_HEALTH","","#PROMPT_PING_NEED_HEALTH","#PROMPT_PING_NEED_HEALTH_SHORT","","ping_needhealth",true,false,true,false,"","","rui/hud/ping/icon_ping_dronemedic",""
"","PING_HOLD_ON","","#PROMPT_PING_HOLD_ON","#PROMPT_PING_HOLD_ON_SHORT","","ping_markerwait",true,false,true,false,"","","rui/menu/dpad_comms/emoji/stop",""
"","PING_ABILITY_ME","! Needs new: "I'm going to do my unique thing"","#PROMPT_PING_ABILITY_ME","#PROMPT_PING_ABILITY_ME_SHORT","#PING_ABILITY_ME","ping_abilityTacticalPlayer",true,true,true,true,"","","rui/hud/common/objective_marker",""
"","PING_ABILITY_ALLY","! Needs new: "You should do your unique thing"","#PROMPT_PING_ABILITY_ALLY","#PROMPT_PING_ABILITY_ALLY_SHORT","#PING_ABILITY_ALLY","ping_abilityTacticalTeam",true,false,true,false,"","","rui/hud/common/objective_marker",""
"","PING_AREA_CLEAR","","#PROMPT_PING_AREA_CLEAR","#PROMPT_PING_AREA_CLEAR_SHORT","#PING_AREA_CLEAR","ping_areaClear",true,true,true,true,"","","rui/menu/dpad_comms/emoji/ok",""
"","PING_AREA_VISITED","! [jnel] hooked up specific vo event for someone's been here","#PROMPT_PING_AREA_VISITED","#PROMPT_PING_AREA_VISITED_SHORT","#PING_AREA_VISITED","ping_cluePresence",true,true,true,true,"","","rui/hud/ping/icon_ping_someonesbeen","settings/itemflav/ping/ping_area_visited.rpak"
"","PING_DOOR","! [jnel] hooked up ping_doorOpen.  But unused we also have ping_doorDestroyed and ping_doorClosed.","#PROMPT_PING_DOOR","#PROMPT_PING_DOOR_SHORT","#PING_DOOR","ping_doorClosed",true,true,true,true,"","","rui/hud/common/objective_marker","settings/itemflav/ping/ping_go.rpak"
"","PING_DEATHBOX","","#PROMPT_PING_DEATHBOX","#PROMPT_PING_DEATHBOX_SHORT","#PING_DEATHBOX","ping_deathBox",true,true,true,true,"","","rui/hud/common/objective_marker","settings/itemflav/ping/ping_go.rpak"
"","PING_LOOTBIN","! [jnel] changed ping_crate to ping_lootBin","#PROMPT_PING_LOOTBIN","#PROMPT_PING_LOOTBIN_SHORT","#PING_LOOTBIN","ping_supplyBin",true,true,true,true,"","","rui/hud/common/objective_marker","settings/itemflav/ping/ping_go.rpak"
"","PING_LOOTBIN_OPEN","! [jnel] changed ping_crate to ping_lootBin","#PROMPT_PING_LOOTBIN_OPEN","#PROMPT_PING_LOOTBIN_OPEN_SHORT","#PING_LOOTBIN_OPEN","ping_supplyBinOpen",true,true,true,true,"","","rui/hud/common/objective_marker","settings/itemflav/ping/ping_go.rpak"
"","PING_CAREPACKAGE","","#PROMPT_PING_CAREPACKAGE","#PROMPT_PING_CAREPACKAGE_SHORT","#PING_CAREPACKAGE","ping_carePackage",true,true,true,true,"","","rui/hud/common/objective_marker","settings/itemflav/ping/ping_go.rpak"
"","PING_MY_CAREPACKAGE","! Line needed ?  (Roger?)","#PROMPT_PING_CAREPACKAGE","#PROMPT_PING_CAREPACKAGE_SHORT","#PING_CAREPACKAGE","ping_carePackage",true,true,true,true,"","","rui/hud/common/objective_marker","settings/itemflav/ping/ping_go.rpak"
"","PING_SURVEYBEACON","! [jnel] changed generic ping_beacon to specifc ping_surveyBeacon","#PROMPT_PING_SURVEYBEACON","#PROMPT_PING_SURVEYBEACON_SHORT","#PING_SURVEYBEACON","ping_surveyBeacon",true,true,true,true,"","","rui/hud/common/objective_marker","settings/itemflav/ping/ping_go.rpak"
"","PING_HOVERTANK","","#PROMPT_PING_HOVERTANK","#PROMPT_PING_HOVERTANK_SHORT","#PING_HOVERTANK","ping_supplyShip",true,true,true,true,"","","rui/hud/common/objective_marker","settings/itemflav/ping/ping_go.rpak"
"","PING_FLYER","","#PROMPT_PING_FLYER","#PROMPT_PING_FLYER_SHORT","#PING_FLYER","ping_flyer",true,true,true,true,"","","rui/hud/common/objective_marker","settings/itemflav/ping/ping_go.rpak"
"","PING_FLYER_CAGED","","#PROMPT_PING_FLYER_CAGED","#PROMPT_PING_FLYER_CAGED_SHORT","#PING_FLYER_CAGED","ping_flyerCaged",true,false,true,false,"","","rui/hud/common/objective_marker","settings/itemflav/ping/ping_go.rpak"
"","PING_JUMPTOWER","","#PROMPT_PING_JUMPTOWER","#PROMPT_PING_JUMPTOWER_SHORT","#PING_JUMPTOWER","ping_jumpTower",true,true,true,true,"","","rui/hud/common/objective_marker","settings/itemflav/ping/ping_go.rpak"
"","PING_ZIPLINE","","#PROMPT_PING_ZIPLINE","#PROMPT_PING_ZIPLINE_SHORT","#PING_ZIPLINE","ping_zipline",true,true,true,true,"","","rui/hud/common/objective_marker","settings/itemflav/ping/ping_go.rpak"
"","PING_ENEMY_SPOTTED_GENERAL","","#PROMPT_PING_ENEMY_SPOTTED_GENERAL","#PROMPT_PING_ENEMY_SPOTTED_GENERAL_SHORT","#PING_ENEMY_SPOTTED_GENERAL","ping_spotEnemy",true,true,true,true,"","","rui/hud/ping/icon_ping_enemy","settings/itemflav/ping/ping_enemy.rpak"
"","PING_ENEMY_SPOTTED_SPECIFIC","","#PROMPT_PING_ENEMY_SPOTTED_SPECIFIC","#PROMPT_PING_ENEMY_SPOTTED_SPECIFIC_SHORT","#PING_ENEMY_SPOTTED_SPECIFIC","ping_spotEnemy",true,true,true,true,"","","rui/hud/ping/icon_ping_enemy","settings/itemflav/ping/ping_enemy.rpak"
"","PING_ENEMY_SUSPECTED","","#PROMPT_PING_ENEMY_SUSPECTED","#PROMPT_PING_ENEMY_SUSPECTED_SHORT","#PING_ENEMY_SUSPECTED","ping_suspectEnemy",true,true,true,true,"","","rui/hud/ping/icon_ping_someonesbeen","settings/itemflav/ping/ping_area_visited.rpak"
"","PING_NPC_LOOT_TICK","","#PROMPT_PING_NPC_LOOT_TICK","#PROMPT_PING_NPC_LOOT_TICK","#PING_NPC_LOOT_TICK","ping_lootTick",true,true,true,true,"","","rui/hud/ping/icon_ping_loot","settings/itemflav/ping/ping_looting.rpak"
"","PING_ENEMY_TRAP","","#PROMPT_PING_ENEMY_TRAP","#PROMPT_PING_ENEMY_TRAP_SHORT","#PING_ENEMY_TRAP","ping_enemyTrap",true,true,true,true,"","","rui/hud/training/gauntlet_target","settings/itemflav/ping/ping_enemy.rpak"
"","PING_ENEMY_TESLA_TRAP","","#PROMPT_PING_ENEMY_FENCE","#PROMPT_PING_ENEMY_FENCE_SHORT","#PING_ENEMY_FENCE","ping_fenceEnemy",true,true,true,true,"","","rui/hud/training/gauntlet_target","settings/itemflav/ping/ping_enemy.rpak"
"","PING_TROPHY_SYSTEM","","#PROMPT_PING_ENEMY_INTERCEPTOR","#PROMPT_PING_ENEMY_INTERCEPTOR_SHORT","#PING_ENEMY_INTERCEPTOR","ping_interceptor",true,true,true,true,"","","rui/hud/training/gauntlet_target","settings/itemflav/ping/ping_enemy.rpak"
