"featureFlag","mod","type","name","shortName","description","image","emptyImage","cost","costSniper","costPistol","costAT","attachmentPoint","ammoType","specialCaseInvalidReason","toggleMod"
"","bullets_mag_l1","mag_straight","#MOD_bullets_MAG_L1_NAME","#MOD_bullets_MAG_L1_NAME","#MOD_bullets_MAG_L1_DESC","rui/pilot_loadout/mods/TEMP_mag_straight","rui/pilot_loadout/mods/empty_mag_straight",0,0,0,0,"mag","bullet","#REASON_BULLETS_REQUIRED",""
"","bullets_mag_l2","mag_straight","#MOD_bullets_MAG_L2_NAME","#MOD_bullets_MAG_L2_NAME","#MOD_bullets_MAG_L2_DESC","rui/pilot_loadout/mods/TEMP_mag_straight","rui/pilot_loadout/mods/empty_mag_straight",0,0,0,0,"mag","bullet","#REASON_BULLETS_REQUIRED",""
"","bullets_mag_l3","mag_straight","#MOD_bullets_MAG_L3_NAME","#MOD_bullets_MAG_L3_NAME","#MOD_bullets_MAG_L3_DESC","rui/pilot_loadout/mods/TEMP_mag_straight","rui/pilot_loadout/mods/empty_mag_straight",0,0,0,0,"mag","bullet","#REASON_BULLETS_REQUIRED",""
"","highcal_mag_l1","mag","#MOD_highcal_MAG_L1_NAME","#MOD_highcal_MAG_L1_NAME","#MOD_highcal_MAG_L1_DESC","rui/pilot_loadout/mods/TEMP_mag","rui/pilot_loadout/mods/empty_mag",0,0,0,0,"mag","highcal","#REASON_HICAL_REQUIRED",""
"","highcal_mag_l2","mag","#MOD_highcal_MAG_L2_NAME","#MOD_highcal_MAG_L2_NAME","#MOD_highcal_MAG_L2_DESC","rui/pilot_loadout/mods/TEMP_mag","rui/pilot_loadout/mods/empty_mag",0,0,0,0,"mag","highcal","#REASON_HICAL_REQUIRED",""
"","highcal_mag_l3","mag","#MOD_highcal_MAG_L3_NAME","#MOD_highcal_MAG_L3_NAME","#MOD_highcal_MAG_L3_DESC","rui/pilot_loadout/mods/TEMP_mag","rui/pilot_loadout/mods/empty_mag",0,0,0,0,"mag","highcal","#REASON_HICAL_REQUIRED",""
"HAS_ENERGY_MAGS","energy_mag_l1","mag_energy","#MOD_ENERGY_MAG_L1_NAME","#MOD_ENERGY_MAG_L1_NAME","#MOD_ENERGY_MAG_L1_DESC","rui/pilot_loadout/mods/energy_mag","rui/pilot_loadout/mods/empty_energy_mag",0,0,0,0,"mag","special","#REASON_ENERGY_REQUIRED",""
"HAS_ENERGY_MAGS","energy_mag_l2","mag_energy","#MOD_ENERGY_MAG_L2_NAME","#MOD_ENERGY_MAG_L2_NAME","#MOD_ENERGY_MAG_L2_DESC","rui/pilot_loadout/mods/energy_mag","rui/pilot_loadout/mods/empty_energy_mag",0,0,0,0,"mag","special","#REASON_ENERGY_REQUIRED",""
"HAS_ENERGY_MAGS","energy_mag_l3","mag_energy","#MOD_ENERGY_MAG_L3_NAME","#MOD_ENERGY_MAG_L3_NAME","#MOD_ENERGY_MAG_L3_DESC","rui/pilot_loadout/mods/energy_mag","rui/pilot_loadout/mods/empty_energy_mag",0,0,0,0,"mag","special","#REASON_ENERGY_REQUIRED",""
"","shotgun_bolt_l1","mag_shotgun","#MOD_SHOTGUN_BOLT_L1_NAME","#MOD_SHOTGUN_BOLT_L1_NAME","#MOD_SHOTGUN_BOLT_L1_DESC","rui/pilot_loadout/mods/TEMP_mag_shotgun","rui/pilot_loadout/mods/empty_mag_shotgun",0,0,0,0,"mag","shotgun","#REASON_SHOTGUN_REQUIRED",""
"","shotgun_bolt_l2","mag_shotgun","#MOD_SHOTGUN_BOLT_L2_NAME","#MOD_SHOTGUN_BOLT_L2_NAME","#MOD_SHOTGUN_BOLT_L2_DESC","rui/pilot_loadout/mods/TEMP_mag_shotgun","rui/pilot_loadout/mods/empty_mag_shotgun",0,0,0,0,"mag","shotgun","#REASON_SHOTGUN_REQUIRED",""
"","shotgun_bolt_l3","mag_shotgun","#MOD_SHOTGUN_BOLT_L3_NAME","#MOD_SHOTGUN_BOLT_L3_NAME","#MOD_SHOTGUN_BOLT_L3_DESC","rui/pilot_loadout/mods/TEMP_mag_shotgun","rui/pilot_loadout/mods/empty_mag_shotgun",0,0,0,0,"mag","shotgun","#REASON_SHOTGUN_REQUIRED",""
"","stock_tactical_l1","stock_tactical","#GEAR_STOCK_TACTICAL_L1_NAME","#GEAR_STOCK_TACTICAL_L1_NAME","#GEAR_STOCK_TACTICAL_L1_DESC","rui/pilot_loadout/mods/TEMP_stock","rui/pilot_loadout/mods/empty_stock_tactical",0,0,0,0,"grip","","",""
"","stock_tactical_l2","stock_tactical","#GEAR_STOCK_TACTICAL_L2_NAME","#GEAR_STOCK_TACTICAL_L2_NAME","#GEAR_STOCK_TACTICAL_L2_DESC","rui/pilot_loadout/mods/TEMP_stock","rui/pilot_loadout/mods/empty_stock_tactical",0,0,0,0,"grip","","",""
"","stock_tactical_l3","stock_tactical","#GEAR_STOCK_TACTICAL_L3_NAME","#GEAR_STOCK_TACTICAL_L3_NAME","#GEAR_STOCK_TACTICAL_L3_DESC","rui/pilot_loadout/mods/TEMP_stock","rui/pilot_loadout/mods/empty_stock_tactical",0,0,0,0,"grip","","",""
"","stock_sniper_l1","stock_sniper","#GEAR_STOCK_SNIPER_L1_NAME","#GEAR_STOCK_SNIPER_L1_NAME","#GEAR_STOCK_SNIPER_L1_DESC","rui/pilot_loadout/mods/TEMP_stock","rui/pilot_loadout/mods/empty_stock_sniper",0,0,0,0,"grip","","#REASON_SNIPER_REQUIRED",""
"","stock_sniper_l2","stock_sniper","#GEAR_STOCK_SNIPER_L2_NAME","#GEAR_STOCK_SNIPER_L2_NAME","#GEAR_STOCK_SNIPER_L2_DESC","rui/pilot_loadout/mods/TEMP_stock","rui/pilot_loadout/mods/empty_stock_sniper",0,0,0,0,"grip","","#REASON_SNIPER_REQUIRED",""
"","stock_sniper_l3","stock_sniper","#GEAR_STOCK_SNIPER_L3_NAME","#GEAR_STOCK_SNIPER_L3_NAME","#GEAR_STOCK_SNIPER_L3_DESC","rui/pilot_loadout/mods/TEMP_stock","rui/pilot_loadout/mods/empty_stock_sniper",0,0,0,0,"grip","","#REASON_SNIPER_REQUIRED",""
"","hopup_turbocharger","hopup_turbocharger","#WPN_HOPUP_TURBOCHARGER","#WPN_HOPUP_TURBOCHARGER_SHORT","#WPN_HOPUP_TURBOCHARGER_DESC","rui/pilot_loadout/mods/TEMP_hopup","rui/pilot_loadout/mods/empty_hopup_turbocharger",0,0,0,0,"hopup","","#REASON_ENERGY_AR_REQUIRED",""
"","hopup_selectfire","hopup_selectfire","#WPN_HOPUP_SELECTFIRE","#WPN_HOPUP_SELECTFIRE_SHORT","#WPN_HOPUP_SELECTFIRE_DESC","rui/pilot_loadout/mods/TEMP_hopup","rui/pilot_loadout/mods/empty_hopup_autofire",0,0,0,0,"hopup","","#REASON_PROWLER_REQUIRED","altfire"
"","hopup_energy_choke","hopup_em_choke","#WPN_HOPUP_ENERGY_CHOKE","#WPN_HOPUP_ENERGY_CHOKE_SHORT","#WPN_HOPUP_ENERGY_CHOKE_DESC","rui/pilot_loadout/mods/TEMP_hopup","rui/pilot_loadout/mods/empty_hopup_em_choke",0,0,0,0,"hopup","","#REASON_PEACEKEEPER_REQUIRED",""
"","hopup_unshielded_dmg","hopup_unshielded_dmg","#WPN_HOPUP_UNSHIELDED_DMG","#WPN_HOPUP_UNSHIELDED_DMG","#WPN_HOPUP_UNSHIELDED_DMG_DESC","rui/pilot_loadout/mods/hopup_unshielded_dmg","rui/pilot_loadout/mods/empty_hopup_unshielded_dmg",0,0,0,0,"hopup","","",""
"HAS_HIGHCAL_ROUNDS","hopup_highcal_rounds","hopup_highcal_rounds","#WPN_HOPUP_HIGHCAL_ROUNDS","#WPN_HOPUP_HIGHCAL_ROUNDS","#WPN_HOPUP_HIGHCAL_ROUNDS_DESC","rui/pilot_loadout/mods/hopup_anvilreceiver","rui/pilot_loadout/mods/empty_hopup_anvilreceiver",0,0,0,0,"hopup","","","altfire_highcal"
"HAS_DOUBLE_TAP","hopup_double_tap","hopup_double_tap","#WPN_HOPUP_DOUBLE_TAP","#WPN_HOPUP_DOUBLE_TAP","#WPN_HOPUP_DOUBLE_TAP_DESC","rui/pilot_loadout/mods/hopup_doubletap","rui/pilot_loadout/mods/empty_hopup_doubletap",0,0,0,0,"hopup","","","altfire_double_tap"
"string","string","string","string","string","string","asset_noprecache","asset_noprecache","int","int","int","int","string","string","string","string"
